id,nome,data_nascimento,cpf,cep,cidade,estado,pais,genero,telefone,email,data_cadastro
bc3b9581-a29d-4ef2-95b4-61fdbc198ce4,Rael Oliveira,1945-11-07,388.887.092-75,97828-435,Pimenta das Flores,RR,Brasil,M,+55 (021) 7448-9631,38888709275@exemplo.com.br,2024-11-07
99eeb70e-e448-44ba-8342-79345adced8a,Julia Rezende,1954-12-14,780.976.599-13,77978-084,Fernandes,RO,Brasil,M,(051) 0015 9474,78097659913@exemplo.com.br,2024-03-03
2f67bf77-698d-4f79-a859-bce6efcdc967,Mathias Gomes,2000-02-10,007.244.115-24,26733666,Caldeira do Sul,ES,Brasil,F,0900 269 5541,00724411524@exemplo.com.br,2024-06-01
ae151507-df91-4b6a-b395-a68f34252f95,Joaquim Pires,1989-06-20,639.026.322-55,28232-961,da Paz do Campo,TO,Brasil,M,0800 736 1758,63902632255@exemplo.com.br,2024-12-22
c7ce8014-21c1-43f2-87e3-aee3d6c6cd4e,Pedro Miguel Silva,1970-05-26,803.693.184-64,30721662,Nascimento Verde,AP,Brasil,M,+55 (021) 9625 0879,80369318464@exemplo.com.br,2025-02-10
b14d8bff-f76f-405a-a7a0-d793a37ebeb3,Cecilia da Paz,1943-05-24,368.255.543-22,20954610,Andrade de Minas,SP,Brasil,M,(051) 9583 1916,36825554322@exemplo.com.br,2024-04-30
2a458fbe-dc52-4e62-a39e-53cf9d19ea52,Davi Lucas Caldeira,1972-02-24,378.210.951-96,81576-841,Albuquerque,PI,Brasil,M,(041) 4127 8115,37821095196@exemplo.com.br,2023-10-08
806c0583-e62b-479e-a824-59bd70148992,Emanuel Pacheco,1978-03-24,313.143.735-24,72569-192,Camargo dos Dourados,PI,Brasil,M,+55 41 3305 3092,31314373524@exemplo.com.br,2024-05-13
275763f3-b8d9-40f1-9cbb-cad9c94b730e,Srta. Natália Alves,1942-10-31,268.184.984-14,99267-026,das Neves,PR,Brasil,F,+55 31 8886-5383,26818498414@exemplo.com.br,2025-04-10
d70b22de-60b2-4a8b-b341-9b426db6d3a2,Sr. Arthur Gabriel da Cunha,2002-08-24,818.540.521-95,73832233,da Paz de Brito,SC,Brasil,M,+55 (021) 5358 4303,81854052195@exemplo.com.br,2024-10-03
32f57a7b-fe47-4925-8890-45dc117e4d84,Maria Cirino,1940-09-15,561.313.228-23,83720-909,Lopes das Pedras,ES,Brasil,M,+55 (011) 3772-6644,56131322823@exemplo.com.br,2023-09-19
212366cd-f434-44d0-915d-d565cc39c290,Sr. Luan Garcia,1964-11-29,668.202.931-55,80109-128,Dias de da Rocha,SE,Brasil,M,+55 21 2895-3802,66820293155@exemplo.com.br,2025-01-31
dbda49f2-d578-406e-baf0-cec256974b36,Leonardo Monteiro,1934-11-07,378.516.962-30,28022-185,Nogueira dos Dourados,MG,Brasil,M,0800 863 5445,37851696230@exemplo.com.br,2023-12-11
